Group,Subgroup,Student ID,Name
G-10,Subgroup 4,53,Ayesha Javed
G-10,Subgroup 4,68,Kiara Lin
G-10,Subgroup 4,98,Yuzhi
G-10,Subgroup 4,70,Kiran Farooq
G-10,Subgroup 5,84,Rizan Bin Ahmad
G-10,Subgroup 5,59,Hae-Jin Lee
G-10,Subgroup 5,69,Kira Yamada
G-10,Subgroup 5,79,Nurul Aini Binti Ahmad
G-10,Subgroup 5,95,Ximena Fernandez
G-10,Subgroup 6,85,Sho Nakajima
G-10,Subgroup 6,91,Tianming
G-10,Subgroup 6,75,Michael Miller
G-10,Subgroup 6,67,Kerry Lim
G-10,Subgroup 6,78,Nina Patil
G-10,Subgroup 7,92,Will Chen
G-10,Subgroup 7,99,Zaki Bin Ibrahim
G-10,Subgroup 7,56,Christopher Miller
G-10,Subgroup 7,77,Nina Bennett
G-10,Subgroup 7,62,Hunter Wilson
G-10,Subgroup 8,58,Freya Chen
G-10,Subgroup 8,55,Cheng Zhang
G-10,Subgroup 8,71,Leo Xu
G-10,Subgroup 8,82,Rhea Lee
G-10,Subgroup 8,89,Tao Liu
G-10,Subgroup 9,81,Rhea Kapoor
G-10,Subgroup 9,57,Dante Wu
G-10,Subgroup 9,80,Paula Wong
G-10,Subgroup 9,54,Benjamin Turner
G-10,Subgroup 9,97,Yasmine Villanueva
G-10,Subgroup 10,52,Ananya Singh
G-10,Subgroup 10,74,Mia Zhang
G-10,Subgroup 10,93,Xander Cook
G-10,Subgroup 10,65,Kaya Chang
G-10,Subgroup 10,73,Marco Garcia
G-100,Subgroup 1,114,Fangling
G-100,Subgroup 1,129,Mia Hall
G-100,Subgroup 1,148,Yuanqing
G-100,Subgroup 1,116,Fergus Mendoza
G-100,Subgroup 1,120,Hua Zhang
G-100,Subgroup 2,141,Siti Maryam
G-100,Subgroup 2,115,Fay Tan
G-100,Subgroup 2,105,Anjali Nair
G-100,Subgroup 2,108,Bradley Huang
G-100,Subgroup 2,111,Carter Moore
G-100,Subgroup 3,103,Alina Malik
G-100,Subgroup 3,126,Margaret Li
G-100,Subgroup 3,138,Rachel Lee
G-100,Subgroup 3,124,Jordan Chen
G-100,Subgroup 3,112,Danty Susanto
G-100,Subgroup 4,127,Maya Ong
G-100,Subgroup 4,132,Nadia Binti Azhar
G-100,Subgroup 4,147,Ying Liu
G-100,Subgroup 4,144,Tommy Wu
G-100,Subgroup 4,145,Wesley Turner
G-100,Subgroup 5,149,Yumi Nishikawa
G-100,Subgroup 5,133,Naina Gupta
G-100,Subgroup 5,130,Mia Phillips
G-100,Subgroup 5,137,Peter Choi
G-100,Subgroup 5,123,Jack Foster
G-100,Subgroup 6,107,Bella Perry
G-100,Subgroup 6,134,Neelam Bhatia
G-100,Subgroup 6,139,Raquel Huang
G-100,Subgroup 6,136,Owen Hill
G-100,Subgroup 6,135,Orlando Wu
G-100,Subgroup 7,128,Meera Menon
G-100,Subgroup 7,113,Diya Nair
G-100,Subgroup 7,119,Hassan Farooq
G-100,Subgroup 7,100,Adrian King
G-100,Subgroup 7,101,Aiden Brown
G-100,Subgroup 8,131,Mia Wong
G-100,Subgroup 8,143,Tao Wang
G-100,Subgroup 8,110,Carla Wang
G-100,Subgroup 8,109,Caiyun
G-100,Subgroup 8,142,Tae-Soo Kim
G-100,Subgroup 9,117,Fiona Clark
G-100,Subgroup 9,121,Iris Rivera
G-100,Subgroup 9,118,Han Zhang
G-100,Subgroup 9,146,Yasir Qureshi
G-100,Subgroup 9,125,Khalid Rahman
G-100,Subgroup 10,122,Isabella Thomas
G-100,Subgroup 10,140,Seema Kapoor
G-100,Subgroup 10,104,Ameer Bin Rahman
G-100,Subgroup 10,102,Ali Rehman
G-100,Subgroup 10,106,Ashok Nair
G-101,Subgroup 1,198,Zadie Harris
G-101,Subgroup 1,154,Carter Thompson
G-101,Subgroup 1,176,Madiha Ali
G-101,Subgroup 1,169,Kate Tan
G-101,Subgroup 1,187,Sandeep Rao
G-101,Subgroup 2,151,Alani Lin
G-101,Subgroup 2,183,Qi Chen
G-101,Subgroup 2,168,Jin Yang Tan
G-101,Subgroup 2,196,Xiao Ming
G-101,Subgroup 2,197,Ying Wong
G-101,Subgroup 3,190,Sofia Reddy
G-101,Subgroup 3,194,Weijun
G-101,Subgroup 3,192,Suraj Mishra
G-101,Subgroup 3,189,Shayla Wang
G-101,Subgroup 3,185,Riley Lim
G-101,Subgroup 4,193,Wani Binti Jalil
G-101,Subgroup 4,180,Nguyen Thi Binh
G-101,Subgroup 4,156,Daphne Tan
G-101,Subgroup 4,179,Nguyen Hoang Long
G-101,Subgroup 4,161,Fatima Bhatia
G-101,Subgroup 5,178,Minghao
G-101,Subgroup 5,164,Hope Chen
G-101,Subgroup 5,172,Khayla Rahayu
G-101,Subgroup 5,195,Wyatt Price
G-101,Subgroup 5,199,Zoe King
G-101,Subgroup 6,182,Owen Nugroho
G-101,Subgroup 6,155,Christopher Cox
G-101,Subgroup 6,188,Savannah Torres
G-101,Subgroup 6,159,Evelyn Cheung
G-101,Subgroup 6,174,Lola Tan
G-101,Subgroup 7,173,Kieran Harris
G-101,Subgroup 7,175,Lucas Chen
G-101,Subgroup 7,181,Ning Li
G-101,Subgroup 7,165,Isla Young
G-101,Subgroup 7,158,Ethan Taylor
G-101,Subgroup 8,162,Gia Tsai
G-101,Subgroup 8,186,Rishi Tan
G-101,Subgroup 8,166,Jasper Wang
G-101,Subgroup 8,177,Manish Singh
G-101,Subgroup 8,157,Eli Cruz
G-101,Subgroup 9,153,Asher Nelson
G-101,Subgroup 9,184,Rachel Choi
G-101,Subgroup 9,152,Amaya Sharma
G-101,Subgroup 9,167,Jaxon Lewis
G-101,Subgroup 9,171,Kexin
G-101,Subgroup 10,160,Farhan Bin Azhar
G-101,Subgroup 10,191,Sophia Jones
G-101,Subgroup 10,163,Hannah Smith
G-101,Subgroup 10,170,Kevin Brown
G-101,Subgroup 10,150,Ajay Iyer
G-102,Subgroup 1,202,Anjali Kumar
G-102,Subgroup 1,222,Lyric Tan
G-102,Subgroup 1,234,Nisha Gupta
G-102,Subgroup 1,214,Henry Tan
G-102,Subgroup 1,236,Pranata Santoso
G-102,Subgroup 2,224,Margarita Sokolova
G-102,Subgroup 2,231,Nafisa Ali
G-102,Subgroup 2,248,Zara Lim
G-102,Subgroup 2,235,Omar Farooq
G-102,Subgroup 2,212,Hao Yang Tan
G-102,Subgroup 3,216,Kiran Shah
G-102,Subgroup 3,241,Simran Singh
G-102,Subgroup 3,203,Aria Murphy
G-102,Subgroup 3,245,Ulysses Salazar
G-102,Subgroup 3,225,Maximus Wright
G-102,Subgroup 4,240,Sakshi Singh
G-102,Subgroup 4,232,Nina Phillips
G-102,Subgroup 4,223,Maharani Sari
G-102,Subgroup 4,247,Yong Hui
G-102,Subgroup 4,244,Travis Lim
G-102,Subgroup 5,239,Sakshi Iyer
G-102,Subgroup 5,218,Layla Cooper
G-102,Subgroup 5,220,Liu Fang
G-102,Subgroup 5,229,Minh Tran
G-102,Subgroup 5,221,Luca Torres
G-102,Subgroup 6,249,Zoe Martinez
G-102,Subgroup 6,208,Fariha Noor
G-102,Subgroup 6,233,Nira Gupta
G-102,Subgroup 6,200,Ajay Bhatt
G-102,Subgroup 6,246,Wyatt Thompson
G-102,Subgroup 7,228,Melati Ahmad
G-102,Subgroup 7,226,Maya Sari
G-102,Subgroup 7,227,Megan Walker
G-102,Subgroup 7,213,Harsh Kumar
G-102,Subgroup 7,207,Elisha Wu
G-102,Subgroup 8,217,Lan Nguyen
G-102,Subgroup 8,230,Min-Ji Park
G-102,Subgroup 8,243,Svetlana Chernyshova
G-102,Subgroup 8,219,Levi Huang
G-102,Subgroup 8,206,Cheng Fang Tan
G-102,Subgroup 9,242,Sofia Hernandez
G-102,Subgroup 9,210,Gina Lau
G-102,Subgroup 9,211,Hansel Bautista
G-102,Subgroup 9,204,Asher Clark
G-102,Subgroup 9,238,Riku Takeda
G-102,Subgroup 10,201,Alina Awan
G-102,Subgroup 10,215,Kanwal Bukhari
G-102,Subgroup 10,209,Felix Wong
G-102,Subgroup 10,237,Raj Tan
G-102,Subgroup 10,205,Bradley Yang
G-103,Subgroup 1,298,Yvonne Ng
G-103,Subgroup 1,299,Zachary Lee
G-103,Subgroup 1,290,Talha Iqbal
G-103,Subgroup 1,289,Sofia Kim
G-103,Subgroup 1,253,Anjali Singh
G-103,Subgroup 2,250,Alan Chan
G-103,Subgroup 2,257,Carmen Ong
G-103,Subgroup 2,262,Eli Tan
G-103,Subgroup 2,295,Willow Wong
G-103,Subgroup 2,279,Maya Gonzales
G-103,Subgroup 3,259,Dallas Huang
G-103,Subgroup 3,283,Queenie Lee
G-103,Subgroup 3,252,Amna Bukhari
G-103,Subgroup 3,293,Vikram Singh
G-103,Subgroup 3,291,Tommy Wu
G-103,Subgroup 4,292,Tyler Hall
G-103,Subgroup 4,264,Ethan White
G-103,Subgroup 4,277,Maggie Kwan
G-103,Subgroup 4,251,Amira Tan
G-103,Subgroup 4,282,Naim Bin Hashim
G-103,Subgroup 5,296,Xiao Wei Tan
G-103,Subgroup 5,274,Khalil Bin Ismail
G-103,Subgroup 5,287,Shiloh Lin
G-103,Subgroup 5,255,Asha Mehta
G-103,Subgroup 5,256,Camila Li
G-103,Subgroup 6,263,Emily Scott
G-103,Subgroup 6,281,Nadia Binti Zulkifli
G-103,Subgroup 6,272,Irfan Bin Hassan
G-103,Subgroup 6,267,Fatima Baig
G-103,Subgroup 6,268,Fatima Malik
G-103,Subgroup 7,273,Isaac Thompson
G-103,Subgroup 7,284,Saad Malik
G-103,Subgroup 7,294,Vy Nguyen
G-103,Subgroup 7,270,Hannah Sanders
G-103,Subgroup 7,275,Kylie Chen
G-103,Subgroup 8,266,Fahim Hussein
G-103,Subgroup 8,276,Layla Fisher
G-103,Subgroup 8,265,Everett Harris
G-103,Subgroup 8,285,Samantha Khan
G-103,Subgroup 8,260,David Young
G-103,Subgroup 9,286,Selina Loh
G-103,Subgroup 9,297,Yuna Wong
G-103,Subgroup 9,278,Mansoor Qureshi
G-103,Subgroup 9,258,Chong Wang
G-103,Subgroup 9,261,Dev Sharma
G-103,Subgroup 10,288,Simon Lee
G-103,Subgroup 10,269,Graham Jackson
G-103,Subgroup 10,254,Aria Martinez
G-103,Subgroup 10,280,Maya Wilson
G-103,Subgroup 10,271,Hikaru Sato
G-104,Subgroup 1,302,Anita Lim
G-104,Subgroup 1,348,Zainab Noor
G-104,Subgroup 1,317,Giselle Wu
G-104,Subgroup 1,310,Daniel Adams
G-104,Subgroup 1,336,Rafael Wong
G-104,Subgroup 2,314,Fitri Binti Mohd
G-104,Subgroup 2,308,Chloe Wu
G-104,Subgroup 2,330,Nancy Yeo
G-104,Subgroup 2,315,Gideon Torres
G-104,Subgroup 2,340,Shahid Ali
G-104,Subgroup 3,327,Lily Ong
G-104,Subgroup 3,326,Lila Wu
G-104,Subgroup 3,332,Nisha Yadav
G-104,Subgroup 3,349,Zhen Zhang
G-104,Subgroup 3,325,Leo Pranata
G-104,Subgroup 4,328,Madison Scott
G-104,Subgroup 4,329,Maya Rahman
G-104,Subgroup 4,338,Samantha Ong
G-104,Subgroup 4,323,Kamran Farooq
G-104,Subgroup 4,345,William Yip
G-104,Subgroup 5,318,Gracelyn Dela Cruz
G-104,Subgroup 5,331,Nia Wong
G-104,Subgroup 5,335,Priya Roy
G-104,Subgroup 5,334,Prashant Joshi
G-104,Subgroup 5,311,Eamon Liu
G-104,Subgroup 6,300,Anaya Singh
G-104,Subgroup 6,341,Sophia Taylor
G-104,Subgroup 6,347,Ying Zhang
G-104,Subgroup 6,321,John Lim
G-104,Subgroup 6,301,Anil Reddy
G-104,Subgroup 7,309,Dahlia Chen
G-104,Subgroup 7,306,Chloe Scott
G-104,Subgroup 7,346,Xena Reed
G-104,Subgroup 7,324,Lance Alvarado
G-104,Subgroup 7,337,Ryder Ward
G-104,Subgroup 8,342,Tara Wati
G-104,Subgroup 8,319,Isha Verma
G-104,Subgroup 8,343,Vera Ong
G-104,Subgroup 8,316,Gideon Zhang
G-104,Subgroup 8,304,Benjamin Huang
G-104,Subgroup 9,303,Ashna Mehta
G-104,Subgroup 9,307,Chloe Tan
G-104,Subgroup 9,339,Sarah Liu
G-104,Subgroup 9,305,Chandra Menon
G-104,Subgroup 9,322,Jun Zhang
G-104,Subgroup 10,313,Emily Johnson
G-104,Subgroup 10,312,Emi Yamashita
G-104,Subgroup 10,333,Pallavi Mehta
G-104,Subgroup 10,320,Jason Tan
G-104,Subgroup 10,344,Waleed Malik
G-105,Subgroup 1,352,Alyssa Tan
G-105,Subgroup 1,367,Haruki Suzuki
G-105,Subgroup 1,372,Julia Tan
G-105,Subgroup 1,354,Amit Agarwal
G-105,Subgroup 1,375,Kylie Zhang
G-105,Subgroup 2,379,Maya Torres
G-105,Subgroup 2,371,Jonathan Wu
G-105,Subgroup 2,358,Charlotte Gonzalez
G-105,Subgroup 2,370,James Jackson
G-105,Subgroup 2,360,Chen Li
G-105,Subgroup 3,393,Tatum Roberts
G-105,Subgroup 3,396,Vincent Wong
G-105,Subgroup 3,377,Lola Zhang
G-105,Subgroup 3,388,Ronald Tan
G-105,Subgroup 3,397,Vira Dwi
G-105,Subgroup 4,366,Devansh Mehta
G-105,Subgroup 4,381,Nicolas Ramos
G-105,Subgroup 4,355,Arjun Nair
G-105,Subgroup 4,395,Trung Le
G-105,Subgroup 4,390,Sabrina Zhao
G-105,Subgroup 5,356,Bennett Liu
G-105,Subgroup 5,350,Addison Lin
G-105,Subgroup 5,391,Shahid Raza
G-105,Subgroup 5,359,Chen Bo
G-105,Subgroup 5,364,Dao Tran
G-105,Subgroup 6,368,Imran Bin Zahid
G-105,Subgroup 6,351,Aditi Kumar
G-105,Subgroup 6,376,Logan Martin
G-105,Subgroup 6,357,Callum Williams
G-105,Subgroup 6,389,Saad Javed
G-105,Subgroup 7,398,Yang Jun
G-105,Subgroup 7,380,Mei Chen
G-105,Subgroup 7,369,Isabella Rodriguez
G-105,Subgroup 7,374,Kunal Mehta
G-105,Subgroup 7,387,Ricky Chen
G-105,Subgroup 8,361,Claudia Tan
G-105,Subgroup 8,384,Pallavi Kumar
G-105,Subgroup 8,353,Amina Binti Zain
G-105,Subgroup 8,378,Max Johnson
G-105,Subgroup 8,373,Kiran Rao
G-105,Subgroup 9,385,Ping An
G-105,Subgroup 9,382,Nisha Bansal
G-105,Subgroup 9,365,Daphne Li
G-105,Subgroup 9,386,Qiana Lestari
G-105,Subgroup 9,399,Yumi Tanaka
G-105,Subgroup 10,362,Cora Zhang
G-105,Subgroup 10,392,Sophie Reed
G-105,Subgroup 10,394,Tessa Li
G-105,Subgroup 10,363,Dallas Liu
G-105,Subgroup 10,383,Olivia Miller
G-106,Subgroup 1,402,Aria Lee
G-106,Subgroup 1,448,Zara Malik
G-106,Subgroup 1,417,Isla Lee
G-106,Subgroup 1,405,Charlotte Harris
G-106,Subgroup 1,426,Minghao
G-106,Subgroup 2,404,Arya Kapoor
G-106,Subgroup 2,400,Akemi Takahashi
G-106,Subgroup 2,424,Kevin Wang
G-106,Subgroup 2,418,Jai Mehta
G-106,Subgroup 2,435,Oliver Martinez
G-106,Subgroup 3,422,Kathy Tan
G-106,Subgroup 3,423,Kavitha Tan
G-106,Subgroup 3,441,Rahul Mehta
G-106,Subgroup 3,443,Sergei Ivanovich
G-106,Subgroup 3,444,Siddharth Gupta
G-106,Subgroup 4,429,Neelam Rani
G-106,Subgroup 4,401,Albert Wang
G-106,Subgroup 4,449,Zedrick Ong
G-106,Subgroup 4,442,Reyansh Iyer
G-106,Subgroup 4,406,Cleo Morales
G-106,Subgroup 5,439,Priya Nair
G-106,Subgroup 5,408,Dylan Li
G-106,Subgroup 5,410,Fahad Ali
G-106,Subgroup 5,413,Guofeng
G-106,Subgroup 5,409,Eun-Hee Kim
G-106,Subgroup 6,440,Quinn Larson
G-106,Subgroup 6,407,Cole Huang
G-106,Subgroup 6,434,Nolan Reyes
G-106,Subgroup 6,419,Jason Robinson
G-106,Subgroup 6,430,Nikhil Sharma
G-106,Subgroup 7,446,Tania Ng
G-106,Subgroup 7,415,Harrison Moore
G-106,Subgroup 7,403,Aria Tan
G-106,Subgroup 7,437,Oscar Villanueva
G-106,Subgroup 7,414,Hafiz Ahmad
G-106,Subgroup 8,412,Gandhi Saputra
G-106,Subgroup 8,433,Noel Pineda
G-106,Subgroup 8,445,Sienna Lee
G-106,Subgroup 8,428,Miyu Nishimura
G-106,Subgroup 8,431,Nisha Verma
G-106,Subgroup 9,436,Om Tan
G-106,Subgroup 9,411,Gabriella Dela Cruz
G-106,Subgroup 9,438,Piper Chen
G-106,Subgroup 9,427,Mira Binti Zaki
G-106,Subgroup 9,416,Hoang Nguyen
G-106,Subgroup 10,421,Jun Liu
G-106,Subgroup 10,425,Megan Zhao
G-106,Subgroup 10,447,Thomas Harris
G-106,Subgroup 10,432,Noah Morris
G-106,Subgroup 10,420,Jingyi
G-107,Subgroup 1,487,Sana Menon
G-107,Subgroup 1,469,Lana Tan
G-107,Subgroup 1,468,Kavita Singh
G-107,Subgroup 1,488,Suresh Bhat
G-107,Subgroup 1,465,Joko Susanto
G-107,Subgroup 2,474,Meera Gupta
G-107,Subgroup 2,477,Nguyen Thi Hoa
G-107,Subgroup 2,471,Lily Lim
G-107,Subgroup 2,454,Arjun Sinha
G-107,Subgroup 2,497,Zane Navarro
G-107,Subgroup 3,494,Xiaoling Chen
G-107,Subgroup 3,486,Samreen Ali
G-107,Subgroup 3,450,Amara Siti
G-107,Subgroup 3,456,Carter Hall
G-107,Subgroup 3,496,Yuri Grigorev
G-107,Subgroup 4,483,Rina Ali
G-107,Subgroup 4,451,Amelia Lewis
G-107,Subgroup 4,458,Charu Iyer
G-107,Subgroup 4,492,Xiangqi
G-107,Subgroup 4,460,Daniel Tan
G-107,Subgroup 5,484,Saanvi Roy
G-107,Subgroup 5,473,Madison Torres
G-107,Subgroup 5,479,Nina Zhao
G-107,Subgroup 5,493,Xiao Zhang
G-107,Subgroup 5,466,Kai Qiang
G-107,Subgroup 6,490,Vera Chan
G-107,Subgroup 6,455,Bria Tsai
G-107,Subgroup 6,464,Jia Li
G-107,Subgroup 6,498,Zane Wong
G-107,Subgroup 6,480,Omar Rivera
G-107,Subgroup 7,459,Cheryl Ong
G-107,Subgroup 7,491,Victoria Reyes
G-107,Subgroup 7,495,Yumi Hayashi
G-107,Subgroup 7,472,Liu Yang
G-107,Subgroup 7,467,Karan Patel
G-107,Subgroup 8,470,Le Van Minh
G-107,Subgroup 8,452,Ananya Roy
G-107,Subgroup 8,475,Min-Jung Kim
G-107,Subgroup 8,481,Qiang Zhang
G-107,Subgroup 8,489,Tanishq Reddy
G-107,Subgroup 9,499,Zulaikha Binti Rahman
G-107,Subgroup 9,476,Misha Malik
G-107,Subgroup 9,478,Nina Binti Noor
G-107,Subgroup 9,457,Chad Dela Cruz
G-107,Subgroup 9,453,Archer Powell
G-107,Subgroup 10,463,Hayden Wu
G-107,Subgroup 10,485,Samantha Sanchez
G-107,Subgroup 10,482,Riana Binti Abdul
G-107,Subgroup 10,462,Harvey Lim
G-107,Subgroup 10,461,Emery Wu
G-108,Subgroup 1,508,Hina Waseem
G-108,Subgroup 1,549,Zheng Guo
G-108,Subgroup 1,542,Shun Takahashi
G-108,Subgroup 1,532,Renee Lee
G-108,Subgroup 1,543,Siti Aisya Binti Ibrahim
G-108,Subgroup 2,547,Yan Mei
G-108,Subgroup 2,506,Hana Watanabe
G-108,Subgroup 2,517,Malia Tan
G-108,Subgroup 2,548,Zeeshan Ahmed
G-108,Subgroup 2,530,Rajiv Nair
G-108,Subgroup 3,500,Aarav Nair
G-108,Subgroup 3,541,Shreya Rani
G-108,Subgroup 3,522,Nguyen Van Cuong
G-108,Subgroup 3,515,Lindsey Lin
G-108,Subgroup 3,516,Mae Chang
G-108,Subgroup 4,535,Ruby Diaz
G-108,Subgroup 4,545,Tara Lim
G-108,Subgroup 4,528,Raj Patel
G-108,Subgroup 4,544,Sophia Lee
G-108,Subgroup 4,539,Sheng Liu
G-108,Subgroup 5,536,Sakura Yamamoto
G-108,Subgroup 5,540,Shoji Takahashi
G-108,Subgroup 5,529,Rajendra Kumar
G-108,Subgroup 5,509,Hugo Long
G-108,Subgroup 5,527,Rafika Binti Harun
G-108,Subgroup 6,503,Cameron Ward
G-108,Subgroup 6,510,Ivy Wang
G-108,Subgroup 6,519,Matthew Martinez
G-108,Subgroup 6,526,Qing Liu
G-108,Subgroup 6,511,Julian Wu
G-108,Subgroup 7,518,Mason King
G-108,Subgroup 7,546,Vidya Menon
G-108,Subgroup 7,533,Riya Mehta
G-108,Subgroup 7,514,Liang Bo
G-108,Subgroup 7,521,Nadya Zainal
G-108,Subgroup 8,538,Shahril Bin Hamid
G-108,Subgroup 8,531,Randy Lim
G-108,Subgroup 8,523,Noah Gray
G-108,Subgroup 8,524,Pooja Nair
G-108,Subgroup 8,513,Liam Reddy
G-108,Subgroup 9,507,Harini Nair
G-108,Subgroup 9,525,Priya Menon
G-108,Subgroup 9,537,Samuel Lee
G-108,Subgroup 9,505,Chen Ming
G-108,Subgroup 9,504,Camila Allen
G-108,Subgroup 10,520,Maya Devi
G-108,Subgroup 10,512,Kendrick Alvarado
G-108,Subgroup 10,502,Caleb Parker
G-108,Subgroup 10,534,Rizqi Bin Farhan
G-108,Subgroup 10,501,Asher Thompson
G-109,Subgroup 1,551,Alia Mohd
G-109,Subgroup 1,557,Cassidy Wang
G-109,Subgroup 1,583,Ophelia Santos
G-109,Subgroup 1,558,Cheng Wei Yeo
G-109,Subgroup 1,560,Cole Moore
G-109,Subgroup 2,556,Carmen Tan
G-109,Subgroup 2,562,Hana Takemura
G-109,Subgroup 2,568,Kanti Gupta
G-109,Subgroup 2,571,Kong Wei Tan
G-109,Subgroup 2,570,Kenta Suzuki
G-109,Subgroup 3,564,Harlow Chen
G-109,Subgroup 3,566,Ifti Binti Rahman
G-109,Subgroup 3,587,Ritika Joshi
G-109,Subgroup 3,574,Logan Harris
G-109,Subgroup 3,578,Nitin Chaudhary
G-109,Subgroup 4,573,Liu Hong
G-109,Subgroup 4,581,Nori Matsuda
G-109,Subgroup 4,588,Riya Verma
G-109,Subgroup 4,584,Phan Van Hoa
G-109,Subgroup 4,555,Asad Ali
G-109,Subgroup 5,580,Norah Ng
G-109,Subgroup 5,589,Samantha Wilson
G-109,Subgroup 5,577,Nia Carter
G-109,Subgroup 5,598,Zhi Wei Lim
G-109,Subgroup 5,586,Rameez Shah
G-109,Subgroup 6,599,Zoey Chen
G-109,Subgroup 6,594,Suriya Tan
G-109,Subgroup 6,572,Lina Teo
G-109,Subgroup 6,553,Alvin Dela Cruz
G-109,Subgroup 6,591,Shahril Bin Muni
G-109,Subgroup 7,575,Maya Binti Rahim
G-109,Subgroup 7,595,Wendy Cheung
G-109,Subgroup 7,593,Sofia Wong
G-109,Subgroup 7,561,Fangling
G-109,Subgroup 7,550,Ajay Reddy
G-109,Subgroup 8,576,Miriam Tan
G-109,Subgroup 8,563,Hanh Pham
G-109,Subgroup 8,552,Alina Smith
G-109,Subgroup 8,565,Hussain Bin Mohd
G-109,Subgroup 8,569,Kendrick White
G-109,Subgroup 9,596,Xuefeng
G-109,Subgroup 9,590,Sana Rehman
G-109,Subgroup 9,559,Claire Bennett
G-109,Subgroup 9,579,Noah Harris
G-109,Subgroup 9,567,James Taylor
G-109,Subgroup 10,597,Zarina Binti Ibrahim
G-109,Subgroup 10,554,Arav Singh
G-109,Subgroup 10,582,Nova Ong
G-109,Subgroup 10,585,Raj Patel
G-109,Subgroup 10,592,Shahrir Bin Rahman
G-11,Subgroup 1,623,Kelly Lim
G-11,Subgroup 1,649,Zhao Rui
G-11,Subgroup 1,638,Seth Lim
G-11,Subgroup 1,610,Daya Kumari
G-11,Subgroup 1,607,Chengwei
G-11,Subgroup 2,641,Tara Kumar
G-11,Subgroup 2,605,Charlotte Martin
G-11,Subgroup 2,601,Alison Wong
G-11,Subgroup 2,639,Tania Kurnia
G-11,Subgroup 2,620,Jin Lee
G-11,Subgroup 3,626,Liang Mei
G-11,Subgroup 3,608,Chloe Hu
G-11,Subgroup 3,648,Zainab Rahman
G-11,Subgroup 3,640,Tanvi Agarwal
G-11,Subgroup 3,629,Nina Butler
G-11,Subgroup 4,636,Sana Ali
G-11,Subgroup 4,634,Richa Agarwal
G-11,Subgroup 4,604,Caleb Murphy
G-11,Subgroup 4,613,Elena Vladimirovna
G-11,Subgroup 4,618,Hugo Huang
G-11,Subgroup 5,619,Jacob Howard
G-11,Subgroup 5,647,Ying Zhao
G-11,Subgroup 5,615,Erqi
G-11,Subgroup 5,632,Peilin
G-11,Subgroup 5,635,Riya Khan
G-11,Subgroup 6,603,Arun Singh
